uuid,adm4_pcode,date,freq,osm_wetland_nearest,osm_reservoir_nearest,osm_water_nearest,osm_riverbank_nearest,osm_dock_nearest,osm_river_nearest,osm_stream_nearest,osm_canal_nearest,osm_drain_nearest
OSMWB0006F6,PH063022080,2021-01-01,Y,185.5747098743945,10000.0,185.5747098743945,242.5674063846118,6458.858682679667,287.99188246174947,3314.1001565229194,1543.5473638954509,10000.0
OSMWB0006F7,PH063022097,2021-01-01,Y,1928.03466078732,10000.0,1068.0064250068324,805.9861968631893,6806.932493607174,195.22878668536424,1369.043141172375,1408.5363414915469,7830.167898235915
OSMWB0006F8,PH063022154,2021-01-01,Y,1197.1488082963108,10000.0,485.4261056126708,530.2453982920852,6074.837545368553,370.4145323833265,1683.2224775820744,1060.928182159083,7892.343301981517
OSMWB0006F9,PH063022041,2021-01-01,Y,1733.4283545338676,10000.0,1031.4662289097944,441.1760003191821,6316.68076659746,0.0,1088.6488934396823,1752.5349539809165,6073.602508616216
OSMWB0006FA,PH063022186,2021-01-01,Y,423.0128118809532,10000.0,410.33911646577496,506.261668136492,5128.336455724794,599.3306922135755,2510.46190304303,1146.254745822259,10000.0
OSMWB0006FB,PH063022161,2021-01-01,Y,2988.4225276852408,10000.0,2100.947018735956,1731.3106023037622,7852.629735695512,0.0,716.7786015248275,2278.2548337340963,7440.306182640345
OSMWB0006FC,PH063022023,2021-01-01,Y,981.8232353176196,10000.0,0.0,0.0,9825.931386241364,287.08489847918673,1625.114968875565,5232.178864639663,10000.0
OSMWB0006FD,PH063022060,2021-01-01,Y,0.0,10000.0,0.0,0.0,7092.507810925078,0.0,3651.0537665143424,2880.921242322181,10000.0
OSMWB0006FE,PH063022159,2021-01-01,Y,1339.975035490271,10000.0,794.0268524797222,850.8951605299808,6065.391989906599,7.37874575362301,1384.503004897804,1383.8729362915883,7468.6391720180145
OSMWB0006FF,PH063022181,2021-01-01,Y,0.0,10000.0,0.0,0.0,6583.888418000006,0.0,2979.848229298125,1291.2475335469444,10000.0
OSMWB000700,PH063022011,2021-01-01,Y,2302.1038403033344,9051.265596881893,850.0819216323345,144.07148020838594,8472.568739478753,182.83297824471111,422.87539278248585,255.2743685698188,2929.67325217822
OSMWB000701,PH063022043,2021-01-01,Y,324.47250394381007,10000.0,469.14674268135946,276.9321485660539,5097.41578134341,330.59657799598875,2247.7182199757303,1023.5758958643976,10000.0
OSMWB000702,PH063022177,2021-01-01,Y,4110.191339159147,8543.824752768016,0.0,0.0,8776.79030600533,0.0,274.9932856310444,313.8849148909508,5288.616703133498
OSMWB000703,PH063022115,2021-01-01,Y,210.7452831449289,10000.0,0.0,0.0,7097.606489290642,0.0,1964.14525655176,1551.019711884636,10000.0
OSMWB000704,PH063022071,2021-01-01,Y,432.3758274321724,10000.0,343.60329629903123,277.43071770057526,5250.796793843277,597.5511435281973,2700.7520403897684,1146.97886706903,10000.0
OSMWB000705,PH063022188,2021-01-01,Y,1976.879241326259,10000.0,708.7550810866165,150.06228533211504,2396.8155825620915,238.97657738174635,669.3371385937324,3044.4220204620915,9595.964240362404
OSMWB000706,PH063022045,2021-01-01,Y,2058.7768105224304,10000.0,1192.7679459112524,774.0957608336911,7096.05963211036,0.0,1086.7458002703893,1261.4948605034049,8211.634366620712
OSMWB000707,PH063022168,2021-01-01,Y,384.7294695218246,10000.0,0.0,0.0,9127.073256395202,0.0,1060.6867238583693,5054.801458928837,10000.0
OSMWB000708,PH063022069,2021-01-01,Y,522.8527209851238,10000.0,1015.178325551537,436.6959194554751,4555.561124741242,479.4321986284178,1860.6152887158903,1305.1568410175223,9914.00081962238
OSMWB000709,PH063022169,2021-01-01,Y,1715.3740320652294,10000.0,407.1278940651037,223.7619795180552,2746.6759268976343,284.7695766145212,867.6006549239354,2686.696641769267,9708.037509526874
OSMWB000779,PH063022124,2021-01-01,Y,1186.2040781152916,10000.0,313.0093631912857,0.0,6263.617651612866,0.0,1672.871402329563,464.3510896930176,8041.332895926962
OSMWB00077A,PH063022091,2021-01-01,Y,2346.1603974743884,10000.0,1441.900298555122,1058.4693534366304,7286.559836193083,293.15173563072995,920.7885936704828,1613.6281470039823,7891.828017693746
OSMWB00077B,PH063022139,2021-01-01,Y,356.99863286577505,10000.0,165.14825946996024,208.5230703711468,5084.081209956273,275.94639090528347,1192.8223002150394,1186.0231647217,8238.111148124513
OSMWB00077C,PH063022117,2021-01-01,Y,106.46858759792366,10000.0,0.0,0.0,6872.768100643781,0.0,3321.2302691711,2232.6475035918693,10000.0
OSMWB00077D,PH063022121,2021-01-01,Y,1853.8295003582384,10000.0,60.58543850545798,124.40904014878124,2585.0916408562675,206.98331259151948,0.0,3161.643976525299,8325.628731065503
OSMWB00077E,PH063022062,2021-01-01,Y,835.9310694367382,10000.0,1074.1305212621212,759.8658011477822,4477.195306822344,796.8103751933274,1961.1996985194464,1598.7675964157154,10000.0
OSMWB00077F,PH063022170,2021-01-01,Y,2775.9265396080336,10000.0,1917.038164542528,1595.4273208834322,7579.797722412029,0.0,1037.887210755921,2176.5533299156737,7350.754911883881
OSMWB000780,PH063022093,2021-01-01,Y,3032.052025070648,10000.0,2135.8803076860527,1748.36884291024,7925.1034176885,11.983633247452076,559.4979528478318,2271.171756487828,7646.717275421599
OSMWB000781,PH063022157,2021-01-01,Y,428.78777094783015,10000.0,325.21392172340103,364.3105097526708,5264.023243755711,389.0546576595914,1471.4310561089476,1033.136944912211,7908.86964315029
OSMWB000782,PH063022073,2021-01-01,Y,744.8262114268764,10000.0,177.6463526511302,0.0,3699.2775107153,0.0,177.04468104346267,1961.482568429902,8591.01242483181
OSMWB000783,PH063022106,2021-01-01,Y,1649.9554805019843,10000.0,977.2043249844388,952.650836591816,6367.419741025568,0.0,1506.5052727976858,1501.582771973973,6833.325065011461
OSMWB000784,PH063022171,2021-01-01,Y,865.0473775657687,10000.0,0.0,0.0,8181.068540377191,0.0,1890.441909509448,2789.32586216475,10000.0
OSMWB000785,PH063022094,2021-01-01,Y,942.8737883895628,10000.0,0.0,82.95828422807982,3109.1427338646777,151.33524726644694,0.0,2472.923518306716,7249.450833563205
OSMWB000786,PH063022021,2021-01-01,Y,814.6739787722464,10000.0,23.20338562654615,0.0,5878.978708564748,0.0,1317.2681690893437,112.62955111713578,8753.560027018499
OSMWB000787,PH063022005,2021-01-01,Y,669.444655785614,10000.0,130.09449047865502,184.67127478996312,4153.873084480964,279.2341508873799,356.1078723724358,1875.205318772969,8349.521977148483
OSMWB000788,PH063022156,2021-01-01,Y,548.781321230812,10000.0,89.5290714355028,0.0,5837.77521658556,1109.7616893405325,3865.994599405523,2078.5848201696167,10000.0
