uuid,adm4_pcode,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PNHZD0001B2,PH063022007,2015-01-01,S,2.3936,25.5842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001B3,PH063022192,2015-01-01,S,21.9017,30.4561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001B4,PH063022049,2015-01-01,S,46.6477,30.6458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001B5,PH063022031,2015-01-01,S,4.3877,16.4411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001B6,PH063022107,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001B7,PH063022044,2015-01-01,S,0.3078,0.8279,0.3444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001B8,PH063022067,2015-01-01,S,24.5958,7.4946,0.8264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001B9,PH063022072,2015-01-01,S,16.2127,21.9653,5.2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048
PNHZD0001BA,PH063022070,2015-01-01,S,3.3315,42.6144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001BB,PH063022198,2015-01-01,S,40.0686,15.5087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001BC,PH063022133,2015-01-01,S,0.2228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001BD,PH063022103,2015-01-01,S,43.032,10.3909,2.6085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001BE,PH063022004,2015-01-01,S,14.4382,32.2073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001BF,PH063022036,2015-01-01,S,19.9699,4.4452,1.2575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001C0,PH063022163,2015-01-01,S,27.8979,8.9021,8.2193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001C1,PH063022009,2015-01-01,S,66.5044,17.4657,2.4718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001C2,PH063022166,2015-01-01,S,37.2651,30.7709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246,0.0236,0.0852
PNHZD0001C3,PH063022151,2015-01-01,S,28.3315,36.0963,5.4075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001C4,PH063022046,2015-01-01,S,36.5106,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001C5,PH063022061,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
