uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,death_total
DPSAT00199A,W,2006-07-31,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,6
DPSAT00199B,W,2006-07-31,PSA,City-weekly_2006_deaths,PH063022000,T67,HEAT STROKE,0
DPSAT00199C,W,2006-08-07,PSA,City-weekly_2006_deaths,PH063022000,A01,TYPHOID FEVER,1
DPSAT00199D,W,2006-08-07,PSA,City-weekly_2006_deaths,PH063022000,A27,LEPTOSPIROSIS,1
DPSAT00199E,W,2006-08-07,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,9
DPSAT00199F,W,2006-08-07,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,1
DPSAT0019A0,W,2006-08-07,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,6
DPSAT0019A1,W,2006-08-14,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT0019A2,W,2006-08-14,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,1
DPSAT0019A3,W,2006-08-14,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,1
DPSAT0019A4,W,2006-08-14,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,3
DPSAT0019A5,W,2006-08-14,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,9
DPSAT0019A6,W,2006-08-14,PSA,City-weekly_2006_deaths,PH063022000,J45,ASTHMA,1
DPSAT0019A7,W,2006-08-21,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,2
DPSAT0019A8,W,2006-08-21,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,2
DPSAT0019A9,W,2006-08-21,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,8
DPSAT0019AA,W,2006-08-21,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,1
DPSAT0019AB,W,2006-08-21,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,3
DPSAT0019AC,W,2006-08-28,PSA,City-weekly_2006_deaths,PH063022000,A00,CHOLERA,0
DPSAT0019AD,W,2006-08-28,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,1
DPSAT0019AE,W,2006-08-28,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,6
DPSAT0019AF,W,2006-08-28,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT0019B0,W,2006-08-28,PSA,City-weekly_2006_deaths,PH063022000,I20-I25,ANGINA,0
DPSAT0019B1,W,2006-08-28,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,6
DPSAT0019B2,W,2006-09-04,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,2
DPSAT0019B3,W,2006-09-04,PSA,City-weekly_2006_deaths,PH063022000,A27,LEPTOSPIROSIS,1
DPSAT0019B4,W,2006-09-04,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,0
DPSAT0019B5,W,2006-09-04,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,1
DPSAT0019B6,W,2006-09-04,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,8
DPSAT0019B7,W,2006-09-04,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT0019B8,W,2006-09-04,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,12
DPSAT0019B9,W,2006-09-11,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,2
DPSAT0019BA,W,2006-09-11,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,1
